FIGI,Name,Ticker,Exchange Code,Security Type,Market Sector,FIGI Composite,Share Class,Security Description,Security Type 2,bloomberg_url,exists_on_bloomberg
BBG003GX67G4,TATRY MOUNTAIN RESORTS AS 6,TMR,PW,Common Stock,Equity,BBG003GX67F5,BBG001SR2LC5,TMR,Common Stock,https://www.bloomberg.com/quote/TMR:PZ,True
BBG003MS77Y7,CYFROWE CENTRUM SERWISOWE SA,CCS,PW,Common Stock,Equity,BBG001CS8Z79,BBG001V02QN7,CCS,Common Stock,https://www.bloomberg.com/quote/CCS:PZ,True
BBG003P7MQ17,AGENCJA ROZWOJU INNOWACJI SA,ARI,PW,Common Stock,Equity,BBG003P7MQ08,BBG003P7MQ44,ARI,Common Stock,https://www.bloomberg.com/quote/ARI:PZ,True
BBG003QKSRT9,BRASTER SA,BRA,PW,Common Stock,Equity,BBG003QKSRS0,BBG003QKSRX4,BRA,Common Stock,https://www.bloomberg.com/quote/BRA:PZ,True
BBG0042Y52H6,PKP CARGO SA,PKP,PW,Common Stock,Equity,BBG001C7SGY5,BBG001TWLBL4,PKP,Common Stock,https://www.bloomberg.com/quote/PKP:PZ,True
BBG0043QZTM4,PROMISE SA,PRO,PW,Common Stock,Equity,BBG0043QZTL5,BBG0043QZTQ0,PRO,Common Stock,https://www.bloomberg.com/quote/PRO:PZ,True
BBG004752PK2,ASM GROUP SA,ASM,PW,Common Stock,Equity,BBG004752JN3,BBG004752JP1,ASM,Common Stock,https://www.bloomberg.com/quote/ASM:PZ,True
BBG004752PY7,INVENTIONMED S.A.,INM,PW,Common Stock,Equity,BBG004752K78,BBG004752K87,INM,Common Stock,https://www.bloomberg.com/quote/INM:PZ,True
BBG004D928S7,CANNABIS POLAND SA,CBD,PW,Common Stock,Equity,BBG004D92406,BBG004D92415,CBD,Common Stock,https://www.bloomberg.com/quote/CBD:PZ,True
BBG004HL0746,PHOTON ENERGY NV,PEN,PW,Common Stock,Equity,BBG004HKJY94,BBG004HKJYC0,PEN,Common Stock,https://www.bloomberg.com/quote/PEN:PZ,True
BBG004J8VLK0,CPI EUROPE AG,CPI,PW,Common Stock,Equity,BBG004J8VLJ2,BBG001SFRMQ7,CPI,Common Stock,https://www.bloomberg.com/quote/CPI:PZ,True
BBG004TRSWT8,DM GROUP SA,DMG,PW,Common Stock,Equity,BBG004TRSWS9,BBG004TRSWX3,DMG,Common Stock,https://www.bloomberg.com/quote/DMG:PZ,True
BBG004V15Z92,OT LOGISTICS SA,OTS,PW,Common Stock,Equity,BBG000C4CYZ1,BBG001SLD0W0,OTS,Common Stock,https://www.bloomberg.com/quote/OTS:PZ,True
BBG004YW3YZ7,APS ENERGIA SA,APE,PW,Common Stock,Equity,BBG004YW3YX9,BBG004YW3YY8,APE,Common Stock,https://www.bloomberg.com/quote/APE:PZ,True
BBG005L9DRX5,NEWAG SA,NWG,PW,Common Stock,Equity,BBG001CS92K6,BBG001V02T33,NWG,Common Stock,https://www.bloomberg.com/quote/NWG:PZ,True
BBG005MNQNZ6,MERCATOR MEDICAL SA,MRC,PW,Common Stock,Equity,BBG005MNPH08,BBG005MNPHC5,MRC,Common Stock,https://www.bloomberg.com/quote/MRC:PZ,True
BBG005P3LZ85,CEREAL PLANET PLC,CRP,PW,Common Stock,Equity,BBG005NSGZW1,BBG005NSGZX0,CRP,Common Stock,https://www.bloomberg.com/quote/CRP:PZ,True
BBG005TVCX20,AGROMEP SA,AGP,PW,Common Stock,Equity,BBG005Q6VMP6,BBG005Q6VMN8,AGP,Common Stock,https://www.bloomberg.com/quote/AGP:PZ,True
BBG0064732N3,APANET SA,APA,PW,Common Stock,Equity,BBG00646Z2K3,BBG00646Z2J5,APA,Common Stock,https://www.bloomberg.com/quote/APA:PZ,True
BBG006B5TH67,TEXT SA,TXT,PW,Common Stock,Equity,BBG006B5TH49,BBG006B5TH58,TXT,Common Stock,https://www.bloomberg.com/quote/TXT:PZ,True
BBG006S735L2,TORPOL SA,TOR,PW,Common Stock,Equity,BBG006S6PNQ6,BBG006S6PNR5,TOR,Common Stock,https://www.bloomberg.com/quote/TOR:PZ,True
BBG006T0B8R5,ALTUS SA,ALI,PW,Common Stock,Equity,BBG006T0B8Q6,BBG006MGB0S3,ALI,Common Stock,https://www.bloomberg.com/quote/ALI:PZ,True
BBG006Z54Z59,EXCELLENCE SA,EXC,PW,Common Stock,Equity,BBG006YWNYN3,BBG00747ZSH6,EXC,Common Stock,https://www.bloomberg.com/quote/EXC:PZ,True
BBG007FDSS61,CDRL SA,CDL,PW,Common Stock,Equity,BBG001BLDND9,BBG001TQCK19,CDL,Common Stock,https://www.bloomberg.com/quote/CDL:PZ,True
BBG007GFKWC7,FARMY FOTOWOLTAIKI POLSKA SA,FFP,PW,Common Stock,Equity,BBG007GFKW91,BBG007GFKWB8,FFP,Common Stock,https://www.bloomberg.com/quote/FFP:PZ,True
BBG007N49HB1,BANCO SANTANDER SA,SAN,PW,Common Stock,Equity,BBG007N49H94,BBG001S6GQ80,SAN,Common Stock,https://www.bloomberg.com/quote/SAN:PZ,True
BBG008H85LL1,ZORTRAX SA,ZRX,PW,Common Stock,Equity,BBG008H85LJ4,BBG008H85LK2,ZRX,Common Stock,https://www.bloomberg.com/quote/ZRX:PZ,True
BBG009DSCH03,INFRA SA,IFA,PW,Common Stock,Equity,BBG002MZFTD9,BBG002MZFTF7,IFA,Common Stock,https://www.bloomberg.com/quote/IFA:PZ,True
BBG009DVDX73,ENTER AIR SA,ENT,PW,Common Stock,Equity,BBG005CY4782,BBG005CY4791,ENT,Common Stock,https://www.bloomberg.com/quote/ENT:PZ,True
BBG009LG3PJ2,JUJUBEE SA,JJB,PW,Common Stock,Equity,BBG009LG3PG5,BBG009LG3PH4,JJB,Common Stock,https://www.bloomberg.com/quote/JJB:PZ,True
BBG00B3TJ828,LEXBONO SA,LXB,PW,Common Stock,Equity,BBG00B3TJ800,BBG00B3TJ819,LXB,Common Stock,https://www.bloomberg.com/quote/LXB:PZ,True
